2 814.3468375 822.6416563372564 195.02624852916725
3 737.65346 760.0647630653482 458.00643439309914
4 1662.63062 1696.5165499914187 565.4694661489912
5 1530.3566374999998 1584.689598969647 705.5285415724886
6 1650.5039649999999 1720.3281924852708 806.7195389026689
7 1956.40324 2005.956761729684 812.8858364314436
8 2001.2918774999998 2054.802303423802 970.4502499271579
9 1657.8155474999999 1701.2547686517528 1124.8657346749558
10 2093.7394749999994 2142.80790014864 1043.6220329315022
11 1751.5540375 1894.5800026515349 1965.3205101243748
12 1817.1737625 1889.6721851732111 1439.9467494024284
13 1871.9763625000003 1942.3220573119986 1617.7509732533947
14 1877.485185 1999.8268168227191 1793.3163592708952
15 2056.3348125 2118.1516596503716 1691.2965376438765

